datahora;nome_drs;pacientes_uti_mm7d;total_covid_uti_mm7d;ocupacao_leitos;pop;leitos_pc;internacoes_7d;internacoes_7d_l;internacoes_7v7
27/01/2021;DRS 02 Araçatuba;76,71;117,29;65,4;764041;15,35;125;130;-3,85
27/01/2021;DRS 03 Araraquara;84,71;135,43;62,55;991435;13,66;252;264;-4,55
27/01/2021;DRS 04 Baixada Santista;186,43;402,86;46,28;1831884;21,99;233;281;-17,08
27/01/2021;DRS 05 Barretos;72,57;93,86;77,32;425090;22,08;142;123;15,45
27/01/2021;DRS 06 Bauru;208,71;241,71;86,35;1741281;13,88;502;486;3,29
27/01/2021;DRS 07 Campinas;510,57;742,29;68,78;4562125;16,27;950;951;-0,11
27/01/2021;DRS 08 Franca;91,43;111,43;82,05;696336;16;161;161;0
27/01/2021;DRS 09 Marília;159,71;189,43;84,31;1109670;17,07;362;321;12,77
27/01/2021;DRS 10 Piracicaba;170;254,29;66,85;1539600;16,52;407;384;5,99
27/01/2021;DRS 11 Presidente Prudente;61,29;82,71;74,1;752260;10,99;174;191;-8,9
27/01/2021;DRS 12 Registro;19,14;49;39,06;278754;17,58;56;50;12
27/01/2021;DRS 13 Ribeirão Preto;200,29;247,71;80,86;1477530;16,77;417;403;3,47
27/01/2021;DRS 14 São João da Boa Vista;75,43;121,86;61,9;809836;15,05;160;185;-13,51
27/01/2021;DRS 15 São José do Rio Preto;268,71;375,71;71,52;1570421;23,92;541;585;-7,52
27/01/2021;DRS 16 Sorocaba;224,71;305,43;73,57;2461760;12,41;421;479;-12,11
27/01/2021;DRS 17 Taubaté;366,29;454,14;80,66;2489629;18,24;845;945;-10,58
27/01/2021;Estado de São Paulo;6107,71;8686,71;70,31;44639899;19,46;11297;12061;-6,33
28/01/2021;Município de São Paulo;2206,29;3072,86;71,8;11869660;25,89;3359;3845;-12,64
28/01/2021;Grande SP Leste;292;415,71;70,24;2977781;13,96;450;550;-18,18
28/01/2021;Grande SP Norte;33,57;55,57;60,41;603465;9,21;68;72;-5,56
28/01/2021;Grande SP Oeste;148,29;295,14;50,24;1858252;15,88;296;345;-14,2
28/01/2021;Grande SP Sudeste;576,14;838,86;68,68;2690590;31,18;1067;1129;-5,49
28/01/2021;Grande SP Sudoeste;54,29;92,71;58,56;1138499;8,14;151;157;-3,82
28/01/2021;DRS 02 Araçatuba;77,71;120,86;64,3;764041;15,82;129;129;0
28/01/2021;DRS 03 Araraquara;86,43;136,71;63,22;991435;13,79;259;261;-0,77
